Cell_ID,EEF2,ACTB,SOX9,GAPDH,SPP1,IL8,IL6,CCL11,COL5A2,COL1A1,PDL1,MALAT1,RUNX1,CXCR4,MKI67,NANOG
exp1_hch_002_1,1187,2214,10,1077,24,12,393,12,421,1184,4,234,37,49,8,4
exp1_hch_002_2,108,628,5,94,4,5,16,5,74,520,1,267,35,40,6,5
exp1_hch_002_3,637,974,4,818,14,7,254,3,181,656,1,330,58,45,7,3
exp1_hch_002_4,747,2001,14,288,20,30,96,16,247,200,5,571,40,96,15,13
exp1_hch_002_5,641,1034,5,780,10,8,298,7,143,800,0,363,48,40,27,7
exp1_hch_002_6,60,244,3,44,7,5,6,4,136,639,1,206,21,40,71,7
exp1_hch_002_7,416,933,27,455,33,21,137,5,168,472,3,315,44,28,83,9
exp1_hch_002_8,397,1096,11,349,7,40,156,14,148,171,3,235,51,72,12,13
exp1_hch_002_9,584,1543,10,962,13,9,380,6,91,956,0,408,82,59,24,5
exp1_hch_002_10,493,831,5,437,6,13,181,3,110,795,3,355,45,25,18,6
exp1_hch_002_11,1071,958,22,946,5,21,355,7,183,1079,5,553,76,54,17,10
exp1_hch_003_1,199,432,8,119,1,17,106,1,101,286,1,124,12,23,5,1
exp1_hch_003_2,419,840,8,302,11,1,176,4,163,568,1,306,62,27,14,5
exp1_hch_003_3,129,279,14,106,10,0,13,4,56,101,1,11,7,25,29,3
exp1_hch_003_4,518,694,17,439,8,18,278,4,192,699,2,398,30,43,20,11
exp1_hch_003_5,361,1209,13,493,21,38,215,5,146,638,5,245,39,38,191,17
exp1_hch_003_6,457,613,2,304,5,13,129,5,90,566,2,175,54,35,23,4
exp1_hch_003_7,487,848,7,682,22,6,341,1,66,153,0,111,22,15,8,3
exp1_hch_003_8,530,1101,20,804,22,18,424,10,98,191,4,94,13,25,12,7
exp1_hch_003_9,392,508,21,239,5,6,91,19,90,246,6,191,45,33,5,7
exp1_hch_003_10,446,898,11,239,16,9,101,4,72,955,2,355,23,61,18,12
exp1_hch_003_11,762,949,7,708,15,16,251,4,405,948,2,308,54,54,30,5
exp1_hch_004_1,534,846,13,590,24,1,234,3,106,450,5,135,48,38,14,11
exp1_hch_004_2,812,825,1,675,9,96,586,4,358,552,2,186,27,69,12,17
exp1_hch_004_3,591,1145,5,719,24,16,336,8,133,612,8,169,44,19,18,7
exp1_hch_004_4,372,1899,31,885,18,38,375,10,144,189,10,683,29,44,26,7
exp1_hch_004_5,572,1538,11,924,30,9,373,8,213,176,11,246,20,37,68,10
exp1_hch_004_6,458,460,23,119,8,16,99,4,112,234,13,276,29,58,16,10
exp1_hch_004_7,607,1259,40,813,22,17,379,9,186,217,3,184,21,63,71,6
exp1_hch_004_8,475,995,1,668,12,7,316,6,125,605,7,219,47,21,27,9
exp1_hch_004_9,589,1196,19,859,23,7,395,2,226,427,1,191,28,25,26,5
exp1_hch_004_10,881,1944,11,832,21,29,403,16,179,827,11,656,57,111,29,17
exp1_hch_004_11,602,1078,10,715,16,7,355,5,226,236,4,289,29,24,44,7
exp1_hch_005_1,317,802,4,176,10,8,78,7,143,263,12,170,8,26,30,3
exp1_hch_005_2,749,1147,45,799,19,16,265,7,227,746,11,273,24,28,21,5
exp1_hch_005_3,472,1014,1,326,12,55,142,3,148,420,6,164,14,24,103,6
exp1_hch_005_4,128,506,1,101,6,3,41,4,72,236,8,127,13,28,10,3
exp1_hch_005_5,589,1028,5,566,3,6,224,5,263,920,4,291,30,39,64,5
exp1_hch_005_6,226,497,1,276,5,1,98,2,32,249,2,44,18,20,8,5
exp1_hch_005_7,526,1394,4,634,20,8,251,8,332,719,3,263,33,36,28,13
exp1_hch_005_8,956,2936,5,1528,30,7,599,9,556,582,15,546,33,63,15,13
exp1_hch_005_9,695,1466,32,1389,19,16,491,9,280,1673,9,470,113,32,51,5
exp1_hch_005_10,668,941,14,718,21,9,302,6,47,505,4,78,23,31,26,9
exp1_hch_005_11,442,896,4,646,21,35,317,3,280,118,3,177,44,28,13,12
exp1_hch_005_12,259,468,16,305,8,2,79,1,192,87,2,102,6,23,53,5
exp1_hch_005_13,781,1278,6,1135,27,4,367,7,280,731,2,368,27,28,18,4
exp1_hch_005_14,694,1251,12,783,15,10,376,3,216,501,8,29,24,25,39,3
exp1_hch_006_1,314,752,10,184,4,40,102,14,194,253,12,185,3,37,20,13
exp1_hch_006_2,787,1720,5,921,27,22,374,6,273,767,12,297,19,37,20,2
exp1_hch_006_3,683,1386,4,695,12,9,279,4,190,36,9,348,5,26,54,10
exp1_hch_006_4,521,1373,2,427,7,5,213,12,146,350,5,276,3,31,81,9
exp1_hch_006_5,472,910,7,611,4,7,253,7,93,261,5,103,4,41,11,2
exp1_hch_006_6,781,1261,5,897,15,8,340,11,219,802,8,361,7,19,31,8
exp1_hch_006_7,646,1655,55,1199,24,19,488,7,478,868,6,351,3,22,50,12
exp1_hch_006_8,487,1106,2,414,6,10,197,3,105,713,8,190,6,33,31,5
exp1_hch_006_9,167,590,7,165,4,1,60,2,127,667,5,163,9,15,56,4
exp1_hch_007_1,482,972,5,434,8,144,195,5,88,497,1,11,2,11,27,7
exp1_hch_007_2,1002,1432,11,720,13,16,267,6,344,865,5,330,30,30,36,9
exp1_hch_007_3,507,849,9,415,14,3,185,6,68,77,6,265,6,40,18,10
exp1_hch_007_4,418,1026,28,500,10,6,218,5,55,381,3,151,2,16,14,1
exp1_hch_007_5,604,1471,10,719,16,6,328,5,78,780,2,215,6,31,163,16
exp1_hch_007_6,724,1261,1,1131,15,14,490,2,159,706,26,238,21,38,26,5
exp1_hch_007_7,444,1007,2,902,16,8,416,6,139,211,5,18,7,18,96,2
exp1_hch_007_8,583,1297,4,921,6,10,415,2,87,509,4,49,8,29,29,2
exp1_hch_007_9,686,1028,66,612,1,11,250,0,92,538,3,89,4,26,21,4
exp1_hch_007_10,306,753,4,408,8,14,158,2,87,347,2,149,2,23,166,5
exp1_hch_007_11,1039,1952,17,1664,17,6,703,4,193,1024,13,442,3,35,43,12
exp1_hch_007_12,857,1910,6,1234,18,7,473,5,116,770,9,296,5,28,136,18
exp1_hch_007_13,905,1355,35,889,22,14,320,7,286,933,9,323,5,21,35,6
exp1_hch_008_1,322,867,36,304,7,16,126,2,86,461,8,115,41,31,129,5
exp1_hch_008_2,422,1189,4,265,7,15,191,5,110,851,6,114,6,36,233,7
exp1_hch_008_3,701,915,30,810,8,10,322,1,165,435,3,148,6,24,11,4
exp1_hch_008_4,635,481,56,809,13,22,258,5,194,262,10,258,13,67,47,14
exp1_hch_008_5,643,1165,9,494,12,9,213,4,96,726,7,163,5,30,13,7
exp1_hch_008_6,439,1096,124,560,12,25,199,12,276,120,19,258,7,43,8,6
exp1_hch_008_7,651,1591,17,807,12,4,306,7,177,1103,17,168,7,40,142,8
exp1_hch_008_8,687,1553,50,618,6,8,216,4,161,335,9,141,7,33,11,6
exp1_hch_008_9,676,1392,5,635,7,4,235,7,119,477,6,92,7,25,26,4
exp1_hch_008_10,596,1283,4,844,9,22,369,3,171,614,8,163,9,35,135,14
exp1_hch_009_1,601,1326,27,786,11,5,379,6,90,87,6,223,5,28,5,5
exp1_hch_009_2,639,1722,10,967,24,12,437,12,179,328,5,119,6,35,136,12
exp1_hch_009_3,647,1097,2,738,14,162,350,4,116,775,4,179,8,17,67,4
exp1_hch_009_4,367,682,10,245,5,1,93,2,71,3,3,70,2,8,26,4
exp1_hch_009_5,483,846,2,461,12,31,138,7,72,618,5,22,23,55,34,6
exp1_hch_009_6,614,1652,16,528,15,10,227,6,141,713,8,221,12,52,24,9
exp1_hch_009_7,948,1836,11,1294,19,23,572,6,198,1217,6,422,13,57,230,6
exp1_hch_009_8,2137,3813,19,2294,59,29,970,6,351,2772,19,585,22,69,94,18
exp1_hch_009_9,640,1486,3,918,17,8,441,4,67,520,4,50,7,14,76,3
exp1_hch_010_1,418,860,1,294,5,3,175,1,92,461,3,1,7,12,55,5
exp1_hch_010_2,451,865,14,431,9,3,209,6,88,191,2,74,0,2,4,3
exp1_hch_010_3,725,1384,7,666,15,2,334,5,139,506,3,224,6,16,94,5
exp1_hch_010_4,693,1836,50,1027,12,13,466,5,212,886,9,223,11,28,50,12
exp1_hch_010_5,510,1267,14,371,6,21,269,1,115,218,8,238,6,28,10,13
exp1_hch_010_6,596,1801,9,896,15,3,457,2,149,912,8,170,17,23,78,4
exp1_hch_010_7,580,1422,15,893,13,5,375,8,74,3,7,58,4,14,31,7
exp1_hch_010_8,495,1111,50,419,27,16,135,7,287,1220,8,169,15,25,30,10
exp1_hch_010_9,666,1585,2,692,14,4,278,8,202,1162,6,146,9,20,227,9
exp1_hch_010_10,652,974,0,721,7,3,317,2,52,677,5,16,7,5,23,4
exp1_hch_010_11,319,854,17,347,3,6,302,5,96,470,4,9,8,12,15,4
exp1_hch_010_12,220,631,8,138,10,3,37,3,119,608,1,31,6,13,7,4
exp1_hch_011_1,359,385,2,304,9,11,56,5,140,771,5,354,5,17,16,2
exp1_hch_011_2,767,1410,8,1060,5,32,289,3,347,769,9,378,12,35,104,6
exp1_hch_012_1,1045,1954,38,1078,20,11,286,14,517,1215,9,173,11,21,29,5
exp1_hch_012_2,1454,2158,49,1550,30,23,340,19,278,1419,27,588,33,68,34,33
exp1_hch_012_3,677,1611,16,1166,11,6,356,11,286,707,5,124,13,37,5,17
exp1_hch_012_4,998,1944,153,1288,11,7,360,17,511,1578,8,137,12,42,24,16
exp1_hch_012_5,230,436,39,135,5,103,108,5,194,379,7,150,9,16,46,18
exp1_hch_012_6,311,930,5,406,9,9,96,6,159,813,6,197,6,21,110,7
exp1_hch_013_1,440,968,3,789,4,13,291,11,380,31,7,326,4,30,7,4
exp1_hch_013_2,229,677,18,274,13,8,72,9,117,457,6,152,70,24,11,6
exp1_hch_013_3,1041,1066,33,947,12,14,247,11,504,1316,10,402,12,33,18,12
exp1_hch_013_4,277,495,5,171,11,13,61,2,249,695,6,186,8,34,13,4
exp1_hch_013_5,273,369,10,159,8,5,53,3,147,389,1,94,3,28,4,6
exp1_hch_013_6,328,452,60,348,12,12,84,3,168,754,5,318,8,58,12,8
exp1_hch_013_7,265,706,23,211,11,10,64,7,138,772,5,100,3,29,12,10
exp1_hch_014_1,965,1299,22,982,8,5,381,7,275,915,2,203,10,17,12,10
exp1_hch_014_2,1053,2191,9,1875,7,15,581,5,180,767,16,578,4,22,32,9
exp1_hch_014_3,1001,1631,22,1112,12,10,359,9,337,960,9,382,2,25,17,10
exp1_hch_014_4,826,1304,105,1002,14,26,360,4,229,951,10,195,11,26,64,14
exp1_hch_014_5,648,2110,81,948,22,55,360,15,225,3,23,456,7,47,10,9
exp1_hch_015_1,831,1814,3,713,9,2,321,3,207,473,5,381,4,11,49,11
exp1_hch_015_2,557,1277,5,949,7,4,420,3,102,162,5,160,5,13,15,1
exp1_hch_015_3,768,1327,6,914,9,5,310,6,337,598,9,327,5,20,5,5
exp1_hch_015_4,666,1875,6,1319,15,6,415,12,484,771,12,556,11,30,9,7
exp1_hch_015_5,722,1086,8,697,13,40,264,8,276,1315,12,359,8,37,18,17
exp1_hch_015_6,1263,2548,11,1905,11,17,684,13,826,1534,14,498,11,22,26,14
exp1_hch_015_7,1119,3160,183,1573,28,36,555,18,461,1371,11,603,11,94,45,20
exp1_hch_015_8,559,1154,50,930,12,3,316,5,263,570,4,277,4,16,7,4
exp1_hch_015_9,632,1352,106,601,10,13,223,7,148,496,6,154,7,20,5,10
exp1_hch_016_1,674,1599,8,1104,13,18,452,6,175,279,5,171,3,32,9,19
exp1_hch_016_2,456,946,33,566,6,4,226,1,126,447,1,30,0,14,14,3
exp1_hch_016_3,647,1038,4,560,7,36,352,1,239,440,4,135,3,18,8,8
exp1_hch_016_4,611,1204,15,1014,8,4,406,8,249,455,3,330,1,27,7,8
exp1_hch_016_5,518,1131,66,814,12,17,267,3,176,562,6,47,3,27,24,6
exp1_hch_016_6,569,1182,200,1044,11,21,387,7,388,412,8,316,5,40,11,15
exp1_hch_016_7,527,710,3,306,16,16,147,4,140,357,3,124,3,23,3,6
exp1_hch_016_8,830,1303,27,765,16,11,274,4,298,504,6,94,1,31,9,4
exp1_hch_016_9,772,1238,52,989,17,87,312,13,289,502,15,523,31,27,18,8
exp1_hch_016_10,503,710,5,489,5,32,208,1,91,524,4,219,1,23,5,8
exp1_hch_016_11,518,1137,7,766,10,15,317,5,169,168,5,210,3,34,5,7
exp1_hch_017_1,593,682,5,491,4,3,180,7,134,264,5,224,2,16,4,6
exp1_hch_017_2,871,1599,8,1086,13,7,307,7,368,921,11,346,8,32,10,7
exp1_hch_017_3,934,1702,80,777,10,5,206,13,236,1084,7,596,8,29,18,15
exp1_hch_017_4,677,1112,13,900,15,8,324,6,344,632,1,291,2,33,9,6
exp1_hch_017_5,683,955,3,618,11,23,201,7,301,1398,5,280,8,110,23,9
exp1_hch_017_6,183,424,2,293,4,3,152,6,127,412,2,124,1,8,7,0
exp1_hch_018_1,419,1382,16,405,14,7,128,6,276,321,133,261,4,64,63,7
exp1_hch_018_2,819,2091,13,1251,25,37,298,8,215,1099,17,237,8,125,99,10
exp1_hch_018_3,983,1191,7,787,24,17,248,2,397,1008,12,337,4,75,20,15
exp1_hch_018_4,1007,1879,15,1455,31,21,379,2,267,867,10,371,13,95,101,10
exp1_hch_018_5,624,1051,57,780,16,19,220,10,154,584,4,269,4,49,19,18
exp1_hch_019_1,1032,1964,39,1974,19,34,513,5,324,939,29,528,7,20959,32,9
exp1_hch_019_2,481,1115,6,605,13,2,185,3,131,546,6,15,5,9027,12,3
exp1_hch_019_3,1055,2308,48,1155,12,38,280,7,347,1278,12,460,6,14814,145,19
exp1_hch_019_4,860,1727,7,1021,18,15,265,4,306,761,14,252,3,12021,77,13
exp1_hch_019_5,693,1471,8,824,9,15,221,4,142,514,19,153,1,9610,83,11
exp1_hch_019_6,468,1221,8,566,16,12,155,13,265,29,6,194,3,8373,13,22
exp1_hch_019_7,642,1233,11,849,11,15,225,4,180,653,5,60,6,8920,29,5
exp1_hch_019_8,616,1585,29,811,14,34,205,6,266,254,6,156,32,15029,9,13
exp1_hch_019_9,794,1425,6,928,6,9,329,10,442,1092,21,208,2,12300,47,8
exp1_hch_019_10,674,1197,9,999,12,22,291,6,315,823,9,310,56,8915,28,10
exp1_hch_020_1,666,1426,3,604,7,26,240,4,228,857,5,290,4,16,12,2
exp1_hch_020_2,596,1575,46,566,12,10,181,6,148,448,6,83,4,22,7,9
exp1_hch_020_3,526,1211,2,753,3,37,246,5,130,320,18,72,6,17,20,1
exp1_hch_020_4,702,1119,4,859,4,4,249,2,190,472,10,158,6,27,13,10
exp1_hch_020_5,519,1060,2,643,8,2,178,3,113,464,2,153,2,17,4,4
exp1_hch_020_6,631,580,20,788,3,7,242,0,135,563,5,93,3,11,3,7
exp1_hch_020_7,814,1586,145,1286,9,29,430,5,295,700,5,444,4,13,7,10
exp1_hch_020_8,804,1545,4,1197,6,4,372,4,174,745,5,107,3,28,11,5
exp1_hch_021_1,635,569,48,507,6,11,143,3,14,4,1,231,4,29,18,4
exp1_hch_021_2,453,909,15,431,11,7,222,7,29,20,3,94,5,26,39,5
exp1_hch_021_3,445,971,15,644,9,5,215,6,156,314,4,119,17,21,15,4
exp1_hch_022_1,537,1393,4,477,10,7,143,1,127,394,3,175,5,33,6,8
exp1_hch_022_2,200,402,71,209,5,11,40,0,154,213,4,0,3,15,1,0
exp1_hch_022_3,430,1042,108,429,7,22,128,7,456,499,12,274,5,52,11,13
exp1_hch_022_4,687,1024,7,859,6,2,267,4,208,523,1,1,3,22,4,1
exp1_hch_022_5,219,609,5,244,7,3,59,2,152,394,5,307,5,18,1,4
exp1_hch_022_6,788,1229,5,680,6,2,217,2,98,300,9,81,10,67,3,10
exp1_hch_023_1,485,527,41,465,4,34,84,4,304,533,11,489,4,22,13,9
exp1_hch_023_2,384,434,28,475,5,20,89,2,434,297,7,386,5,18,3,6
exp1_hch_023_3,457,673,75,572,28,52,112,13,660,553,13,515,4,66,9,10
exp1_hch_023_4,341,449,9,485,1,23,82,2,382,776,7,381,9,113,3,3
exp1_hch_024_1,217,375,17,152,2,32,21,1,201,367,13,388,1,6,4,9
exp1_hch_024_2,385,601,12,553,5,30,100,6,396,1011,6,435,4,21,8,6
exp1_hch_024_3,875,880,6,940,6,30,131,6,413,922,13,413,8,25,5,7
exp1_hch_024_4,206,438,4,352,2,36,74,1,372,349,9,373,3,25,2,6
exp1_hch_024_5,501,825,20,754,7,26,138,5,332,745,10,326,9,24,7,5
exp1_hch_024_6,229,426,3,368,6,17,71,4,362,630,6,332,1,12,1,9
exp1_hch_024_7,421,728,7,626,10,38,128,2,235,582,7,259,0,7,8,2
exp1_hch_024_8,450,822,42,653,4,34,130,5,494,391,4,410,3,14,7,11
exp1_hch_024_9,563,1084,16,733,4,35,140,6,487,485,18,504,7,31,7,13
exp1_hch_025_1,645,329,20,416,4,34,57,3,691,1043,12,502,7,7,7,9
exp1_hch_025_2,188,525,6,310,4,13,56,3,215,567,6,445,2,17,3,5
exp1_hch_025_3,241,539,7,228,3,8,48,0,205,553,5,227,4,12,2,1
exp1_hch_025_4,153,417,29,220,1,14,35,0,263,874,4,359,2,19,6,4
exp1_hch_025_5,224,345,21,355,3,8,52,0,165,660,5,302,7,9,4,9
exp1_hch_025_6,113,409,30,230,2,37,24,2,213,280,8,414,7,2,3,5
exp1_hch_026_1,457,563,10,473,3,6,179,6,139,55,2,98,1,11,2,0
exp1_hch_026_2,635,1038,13,581,3,10,224,2,181,254,2,159,1,14,6,1
exp1_hch_026_3,447,581,10,444,5,3,177,3,87,106,2,59,1,5,3,1
exp1_hch_026_4,1215,1836,178,1078,5,55,355,12,422,6,5,422,1,17,0,3
exp1_hch_026_5,501,1181,14,494,6,6,278,2,210,358,5,118,2,11,6,4
exp1_hch_026_6,706,853,37,619,6,7,219,4,314,191,1,85,3,101,2,3
exp1_hch_026_7,462,799,2,466,2,1,207,4,154,444,0,56,2,6,4,4
exp1_hch_027_1,379,900,39,371,11,18,258,6,226,261,1,79,2,8,89,4
exp1_hch_027_2,542,705,2,472,5,2,220,5,165,564,3,125,1,14,5,8
exp1_hch_027_3,585,1099,42,492,5,12,257,10,246,17,4,431,6,30,0,7
exp1_hch_027_4,553,1221,27,742,9,16,348,9,337,118,4,244,1,16,10,8
exp1_hch_027_5,668,1258,2,671,8,4,384,12,154,517,1,191,0,18,47,7
exp1_hch_027_6,484,1291,7,552,7,21,329,11,141,152,5,77,5,17,11,10
exp1_hch_027_7,1000,2068,17,1042,11,15,484,12,407,1278,10,338,3,17,120,3
exp1_hch_027_8,874,1574,15,839,15,20,441,5,353,82,7,291,3,27,126,6
exp1_hch_027_9,630,1520,11,938,8,9,494,8,344,210,3,244,11,15,10,2
exp1_hch_027_10,1019,1509,18,2344,9,150,991,13,770,100,6,384,49,19,5,8
exp1_hch_027_11,702,1116,12,570,9,11,240,3,403,1160,3,180,3,26,11,15
exp1_hch_028_1,459,553,40,518,8,18,198,6,228,407,4,90,1,14,4,2
exp1_hch_028_2,485,545,25,631,8,27,191,7,345,586,6,43,3,24,12,7
exp1_hch_028_3,961,1785,16,1315,10,8,388,19,908,812,13,275,7,34,36,18
exp1_hch_030_1,739,1427,11,865,11,11,538,10,463,144,12,470,2,31,13,10
exp1_hch_031_1,636,1025,29,811,5,12,346,4,251,347,0,231,2,8,7,2
exp1_hch_031_2,644,1404,4,783,10,9,407,7,171,348,7,365,6,13,4,1
exp1_hch_031_3,1042,1210,24,867,6,15,297,10,448,914,4,299,0,21,13,6
exp1_hch_031_4,913,1763,19,593,11,14,263,7,294,686,4,345,10,26,17,10
exp1_hch_032_1,563,488,15,301,3,4,122,0,241,45,1,445,1,12,4,4
exp1_hch_032_2,642,603,15,406,5,6,160,2,85,110,5,226,1,11,4,3
exp1_hch_032_3,349,880,3,158,4,8,103,3,213,325,3,241,9,12,10,2
exp1_hch_032_4,2141,805,59,1015,11,60,323,7,874,1966,8,858,8,39,25,7
exp1_hch_032_5,358,613,2,329,1,23,136,1,81,382,3,38,2,7,4,6
exp1_hch_032_6,303,776,7,259,4,5,127,1,100,68,3,231,5,15,2,1
exp1_hch_032_7,694,1223,12,852,1,33,336,5,171,443,3,309,3,15,7,6
exp1_hch_032_8,461,966,12,250,0,14,252,1,121,126,1,387,1,12,1,4
exp1_hch_032_9,330,594,3,128,3,7,69,5,100,122,5,325,2,13,9,4
exp1_hch_032_10,216,559,0,110,2,0,61,2,52,21,2,141,2,8,0,3
exp1_hch_033_1,475,1105,4,177,6,6,101,6,127,64,4,358,11,19,12,4
exp1_hch_033_2,308,821,2,304,1,5,123,1,186,592,1,198,4,17,20,3
exp1_hch_033_3,715,1683,7,694,8,5,267,4,101,203,1,321,9,49,10,15
exp1_hch_033_4,359,392,2,174,2,4,86,1,88,459,3,193,6,14,6,4
exp1_hch_034_1,478,1022,9,500,2,2,234,3,93,92,1,54,5,7,4,0
exp1_hch_034_2,1046,1950,7,768,9,9,338,6,320,952,5,451,7,21,20,5
exp1_hch_034_3,796,1238,10,589,4,6,209,3,136,836,2,277,9,14,11,5
exp1_hch_034_4,1093,513,1,879,6,8,626,3,282,708,3,346,4,14,11,5
exp1_hch_034_5,480,724,4,417,2,4,171,4,101,490,5,208,4,9,6,3
exp1_hch_034_6,694,1099,6,454,4,9,168,6,165,619,5,228,6,36,11,2
exp1_hch_034_7,629,1084,6,476,4,2,165,5,81,495,4,135,2,11,5,6
exp1_hch_034_8,1003,1447,3,824,8,5,317,9,256,669,3,370,8,22,25,5
exp1_hch_034_9,926,1156,9,864,4,7,354,5,124,633,8,308,8,17,22,2
exp1_hch_034_10,293,690,3,332,6,5,114,1,226,7,2,144,6,13,89,1
